"Table with row headers in column A and column headers in row 8, repeated in row 64. Leading dots indicate sub-parts.",,,,,,,,,
Census 2000 PHC-T-39,,,,,,,,,
"Table 2: Educational Attainment of the Population 15 Years and Over by Age, Nativity, and Year of Immigration: 2000",,,,,,,,,
Geographic area: United States,,,,,,,,,
"All race and ethnic groups, both sexes",,,,,,,,,
"(Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error and definitions, see www.census.gov/prod/cen2000/doc/sf3.pdf.)",,,,,,,,,
,,,,,,,,,
Age,Total,No schooling completed,Nursery school-4th grade,5th-6th grade,7th-8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma"
..Total ,"221,148,671","2,880,924","1,489,087","3,882,370","8,886,161","8,660,547","10,031,338","9,613,226","8,627,452"
,,,,,,,,,
Native ,"192,329,889","1,295,246","661,328","1,476,764","7,284,828","7,186,761","9,012,491","8,697,257","6,742,928"
.15 to 24 years ,"34,484,340","133,943","36,655","114,501","2,285,615","3,710,339","4,136,248","4,023,373","1,515,546"
.25 to 34 years ,"32,585,831","134,371","34,753","68,858","315,617","474,594","772,311","918,330","1,080,045"
.35 to 44 years ,"39,232,090","191,056","41,128","95,839","410,471","573,409","930,602","1,038,891","1,250,750"
.45 to 54 years ,"32,993,083","187,217","63,306","151,132","506,643","487,830","702,935","704,099","870,902"
.55 to 64 years ,"21,387,070","170,471","94,591","217,493","744,513","572,663","801,616","695,006","701,305"
.65 to 74 years ,"16,611,621","213,352","158,950","336,173","1,127,377","645,532","860,015","696,485","647,610"
.75 and over ,"15,035,854","264,836","231,945","492,768","1,894,592","722,394","808,764","621,073","676,770"
,,,,,,,,,
Foreign Born ,"28,818,782","1,585,678","827,759","2,405,606","1,601,333","1,473,786","1,018,847","915,969","1,884,524"
.15 to 24 years ,"4,452,692","129,021","62,920","317,591","302,819","457,329","388,975","402,274","338,331"
.25 to 34 years ,"6,991,526","283,217","128,205","594,421","320,930","407,427","193,128","199,988","446,464"
.35 to 44 years ,"6,673,381","338,685","177,387","564,725","291,515","265,982","161,896","141,738","394,219"
.45 to 54 years ,"4,585,526","281,632","162,307","373,133","217,158","141,080","100,387","74,353","271,536"
.55 to 64 years ,"2,784,160","215,467","123,116","236,145","159,418","83,262","68,076","40,729","183,327"
.65 to 74 years ,"1,889,528","188,405","99,351","180,310","147,828","62,990","56,368","29,315","143,339"
.75 and over ,"1,441,969","149,251","74,473","139,281","161,665","55,716","50,017","27,572","107,308"
,,,,,,,,,
