Table with row headers in column A and column headers in rows 17 through 18.,,,,,
Census 2000 PHC-T-18. American Indian and Alaska Native Tribes in the United States: 2000,,,,,
,,,,,
Description of Table 1.,,,,,
This table shows data for American Indian and Alaska Native tribes alone and alone or in combination for the United States.,,,,,
"Those respondents who reported as American Indian or Alaska Native only and one tribe are shown in column 1. Respondents who reported two or more American Indian or Alaska Native tribes, but no other race are shown in column 2. Those respondents who reported as American Indian or Alaska Native and at least one other race and one tribe are shown in column 3. Respondents who reported as American Indian or Alaska Native and at least one other race and two or more tribes are shown in column 4. Those respondents who reported as American Indian or Alaska Native in any combination of race(s) or tribe(s) are shown in column 5, and is the sum of the numbers in columns 1 through 4. For an explanation of the alone and alone or in combination concepts used in this table see ""The American Indian and Alaska Native Population: 2000"", U.S. Census Bureau, Census 2000 Brief, C2KBR/01-15 at www.census.gov/population/www/cen2000/briefs.html.",,,,,
"Table 1. American Indian and Alaska Native Alone and Alone or in Combination Population by Tribe/1
			  for the United States: 2000",,,,,
,,,,,
"Source: U.S. Census Bureau, Census 2000, special tabulation.  ",,,,,
Internet release date: September 2002,,,,,
"Last Revised date: June 30, 2004",,,,,
,,,,,
"Note: Respondents who identified themselves as American Indian or Alaska Native were asked to report their enrolled or principal tribe. Therefore, tribal data in this data product reflect the written tribal entries reported on the questionnaire. Some of the entries (for example, Iroquois, Sioux, Colorado River, and Flathead) represent nations or reservations. The information on tribe is based on self-identification and includes federally- or state-recognized tribes, as well as bands and clans. ",,,,,

"(For information on confidentiality protection, nonsampling error, and definitions, see www.census.gov/prod/cen2000/doc/sf1.pdf)",,,,,
Table with row headers in column A and column headers in rows 13 and 14,,,,,
American Indian and Alaska Native Tribes,"American Indian and
Alaska Native alone",,American Indian and Alaska Native in combination with one or more races,,American Indian and Alaska Native tribe alone or in any combination
,"One tribe
reported","Two or more
tribes reported","One tribe
reported","Two or more
tribes reported",
(leading dot indicates sub-part),(1),(2),(3),(4),(5)
Total tribes tallied/1--------------------------------------------------------------------------------------------------------------------------------------------,"2,409,578","133,259","1,581,122","124,914","4,248,873"
Total persons--------------------------------------------------------------------------------------------------------------------------------------------,"2,416,410","59,546","1,582,860","60,485","4,119,301"
Abenaki Nation of Missiquoi-------------------------------------------------------------------------------------------------------------------------------------------,"2,385",137,"2,686",264,"5,472"
